id,name,address,zip,x,y,hours_of_operation,cybernavigator,teacher_in_the_library,phone,website
1,Altgeld,13281 S. Corliss Avenue,60827,41.65473021837776,-87.6022302609835,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-3270,http://www.chipublib.org/branch/details/library/altgeld/
2,Archer Heights,5055 S. Archer Avenue,60632,41.8012136599335,-87.72649071431441,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 747-9241,http://www.chipublib.org/branch/details/library/archer-heights/
3,Austin,5615 W. Race Avenue,60644,41.889272153514526,-87.76571186722818,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-5038,http://www.chipublib.org/branch/details/library/austin/
4,Austin-Irving,6100 W. Irving Park Road,60634,41.95317390064158,-87.77938682073541,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-6222,http://www.chipublib.org/branch/details/library/austin-irving/
5,Avalon,8148 S. Stony Island Avenue ,60617,41.74671722160199,-87.58539658719002,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-5234,http://www.chipublib.org/branch/details/library/avalon/
6,Beverly,1962 W. 95th Street,60643,41.721180505456495,-87.6719464613888,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-9673,http://www.chipublib.org/branch/details/library/beverly/
7,Bezazian,1226 W. Ainslie Street,60640,41.97168194800458,-87.66073027218957,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-0019,http://www.chipublib.org/branch/details/library/bezazian/
8,Blackstone,4904 S. Lake Park Avenue,60615,41.8058403098503,-87.58934182212592,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-0511,http://www.chipublib.org/branch/details/library/blackstone/
9,Brainerd,1350 W. 89th Street,60620,41.732316757097045,-87.65723451581835,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 747-6291,http://www.chipublib.org/branch/details/library/brainerd/
10,Brighton Park,4314 S. Archer Avenue,60632,41.815138789328266,-87.70265431614907,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 747-0666,http://www.chipublib.org/branch/details/library/brighton-park/
11,Bucktown-Wicker Park,1701 N. Milwaukee Avenue,60647,41.91272239576367,-87.6805873025965,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-6022,http://www.chipublib.org/branch/details/library/bucktown-wicker-park/
12,Budlong Woods,5630 N. Lincoln Avenue,60659,41.98457226437275,-87.69773449236712,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 742-9590,http://www.chipublib.org/branch/details/library/budlong-woods/
13,Canaryville,642 W. 43rd Street,60609,41.815505684396335, -87.64250101465565,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 747-0644,http://www.chipublib.org/branch/details/library/canaryville/
14,Chicago Bee,3647 S. State Street,60609,41.8284268698988,-87.62640221644719,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-6872,http://www.chipublib.org/branch/details/library/chicago-bee/
15,Chicago Lawn,6120 S. Kedzie Avenue ,60629,41.78180787787282,-87.70326162211758,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-0639,http://www.chipublib.org/branch/details/library/chicago-lawn/
16,Chinatown,2353 S. Wentworth Avenue,60616,41.849753498689424,-87.63190001364559,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-8013,http://www.chipublib.org/branch/details/library/chinatown/
17,Clearing,6423 W. 63rd Place,60638,41.77678205621646,-87.78181978755116,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-5657,http://www.chipublib.org/branch/details/library/clearing/
18,Coleman,731 E. 63rd Street,60637,41.78037301095412,-87.60715724280014,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-7760,http://www.chipublib.org/branch/details/library/bessie-coleman/
19,"Daley, Richard J.-Bridgeport",3400 S. Halsted Street,60608,41.83228703346308,-87.64648501124545,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-8990,http://www.chipublib.org/branch/details/library/daley/
20,"Daley, Richard M.-W Humboldt",733 N. Kedzie Avenue,60612,41.8943707,-87.7064607,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 743-0555,http://www.chipublib.org/branch/details/library/daley-w-humboldt/
21,Douglass,3353 W. 13th Street,60623,41.864500759742604,-87.70968548933996,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-3725,http://www.chipublib.org/branch/details/library/douglass/
22,Dunning,7455 W. Cornelia Avenue,60634,41.943308,-87.817497,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 743-0480,http://www.chipublib.org/branch/details/library/dunning/
23,Edgebrook,5331 W. Devon Avenue,60646,41.9969708834685,-87.7620478920105,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-8313,http://www.chipublib.org/branch/details/library/edgebrook/
24,Edgewater,6000 N. Broadway Street,60660,41.990996,-87.660757,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-0718,http://www.chipublib.org/branch/details/library/edgewater/
25,Gage Park,2807 W. 55th Street,60632,41.79369723271382,-87.69404645462895,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 747-0032,http://www.chipublib.org/branch/details/library/gage-park/
26,Galewood-Mont Clare,6871 W. Belden Avenue,60707,41.921114724943386,-87.79724102070298,"M-TH: 10AM-6PM; F: 9AM-5PM; SA, SU: Closed",No,No,(312) 746-0165,http://www.chipublib.org/branch/details/library/galewood-mont-clare/
27,Garfield Ridge,6348 S. Archer Avenue,60638,41.79298666078267,-87.78013325801972,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-6094,http://www.chipublib.org/branch/details/library/garfield-ridge/
28,Greater Grand Crossing,1000 East 73rd Street,60619,41.7623,-87.6005,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 745-1608,http://www.chipublib.org/branch/details/library/greater-grand-crossing/
29,Hall,4801 S. Michigan Avenue,60615,41.80743298280974,-87.62273981936815,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-2541,http://www.chipublib.org/branch/details/library/hall/
30,Harold Washington-HWLC,400 S. State Street,60605,41.87629985357702,-87.62819280116949,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,No,(312) 747-4300,http://www.chipublib.org/branch/details/library/harold-washington/
31,Hegewisch,3048 E. 130th Street,60633,41.65917887033542,-87.54824132727411,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-0046,http://www.chipublib.org/branch/details/library/hegewisch/
32,Humboldt Park,1605 N. Troy Street,60647,41.910328,-87.705427,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 744-2244,http://www.chipublib.org/branch/details/library/humboldt/
33,Independence,3548 W. Irving Park Road,60618,41.953903720729926,-87.71694255042644,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-0900,http://www.chipublib.org/branch/details/library/independence/
34,Jefferson Park,5363 W. Lawrence Avenue,60630,41.96759739182978,-87.76155426232721,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-1998,http://www.chipublib.org/branch/details/library/jefferson-park/
35,Jeffery Manor,2401 E. 100th Street,60617,41.71326176288522,-87.56549206928669,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-6479,http://www.chipublib.org/branch/details/library/jeffery-manor/
36,Kelly,6151 S. Normal Boulevard,60621,41.78217163315653,-87.63740786532117,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-8418,http://www.chipublib.org/branch/details/library/kelly/
37,King,3436 S. King Drive,60616,41.83180139956726,-87.6177606656296,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-7543,http://www.chipublib.org/branch/details/library/king/
38,Legler,115 S. Pulaski Road,60624,41.87933865849079,-87.72556034620074,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-7730,http://www.chipublib.org/branch/details/library/legler/
39,Lincoln Belmont,1659 W. Melrose Street,60657,41.94031359562259,-87.67075771281625,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 744-0166,http://www.chipublib.org/branch/details/library/lincoln-belmont/
40,Lincoln Park,1150 W. Fullerton Avenue,60614,41.925591694002954,-87.6581132450843,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-1926,http://www.chipublib.org/branch/details/library/lincoln-park/
41,Little Village,2311 S. Kedzie Avenue,60623,41.8495331,-87.7051215,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 745-1862,http://www.chipublib.org/branch/details/library/little-village/
42,Logan Square,3030 W. Fullerton Avenue,60647,41.92505210078537,-87.70339410925955,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 744-5295,http://www.chipublib.org/branch/details/library/logan-square/
43,Lozano,1805 S. Loomis Street,60608,41.85752200960524,-87.6609371162563,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-4329,http://www.chipublib.org/branch/details/library/lozano/
44,Manning,6 S. Hoyne Avenue,60612,41.88118570415187,-87.67914211111776,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-6800,http://www.chipublib.org/branch/details/library/mabel-manning/
45,Mayfair,4400 W. Lawrence Avenue,60630,41.968354456496165,-87.7381618989123,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-1254,http://www.chipublib.org/branch/details/library/mayfair/
46,McKinley Park,1915 W. 35th Street,60609,41.830447500170855,-87.67339165430255,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-6082,http://www.chipublib.org/branch/details/library/mckinley-park/
47,Merlo,644 W. Belmont Avenue,60657,41.940084208613214,-87.64614322696454,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-1139,http://www.chipublib.org/branch/details/library/j-merlo-branch/
48,Mount Greenwood,11010 S. Kedzie Avenue,60655,41.69291909858246,-87.70103788554279,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 747-2805,http://www.chipublib.org/branch/details/library/mt-greenwood/
49,Near North,310 W. Division Street,60610,41.90386938756309,-87.63648979790898,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 744-0991,http://www.chipublib.org/branch/details/library/near-north/
50,North Austin,5724 W. North Avenue,60639,41.90942919798428,-87.76879898888265,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-4233,http://www.chipublib.org/branch/details/library/north-austin/
51,North Pulaski,4300 W. North Avenue,60639,41.91004241611636,-87.73392609215429,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-9573,http://www.chipublib.org/branch/details/library/north-pulaski/
52,Northtown,6435 N. California Avenue,60645,41.99833902904292,-87.6996500514452,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-2292,http://www.chipublib.org/branch/details/library/northtown/
53,Oriole Park,7454 W. Balmoral Avenue,60656,41.977961140156296,-87.8132091093451,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 744-1965,http://www.chipublib.org/branch/details/library/oriole-park/
54,Portage-Cragin,5108 W. Belmont Avenue,60641,41.93877675039972,-87.75449293765163,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 744-0152,http://www.chipublib.org/branch/details/library/portage-cragin/
55,Pullman,11001 S. Indiana Avenue,60628,41.69440640901795,-87.61826066226358,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 747-2033,http://www.chipublib.org/branch/details/library/pullman/
56,Roden,6083 N. Northwest Highway,60631,41.99191752494232,-87.79830189864583,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-1478,http://www.chipublib.org/branch/details/library/roden/
57,Rogers Park,6907 N. Clark Street,60626,42.00670763656976,-87.67340767268539,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 744-0156,http://www.chipublib.org/branch/details/library/rogers-park/
58,Roosevelt,1101 W. Taylor Street,60607,41.86927614852819,-87.65447998408592,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-5656,http://www.chipublib.org/branch/details/library/roosevelt/
59,Scottsdale,4101 W. 79th Street,60652,41.749361683410754,-87.72439557570442,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 747-0193,http://www.chipublib.org/branch/details/library/scottsdale/
60,Sherman Park,5440 S. Racine Avenue,60609,41.795279421214886,-87.65492071930115,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-0477,http://www.chipublib.org/branch/details/library/sherman-park/
61,South Chicago,9055 S. Houston Avenue,60617,41.73057483460938,-87.54980694003919,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-8065,http://www.chipublib.org/branch/details/library/south-chicago/
62,South Shore,2505 E. 73rd Street,60649,41.76155535585864,-87.56208363879564,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-5281,http://www.chipublib.org/branch/details/library/south-shore/
63,Sulzer Regional,4455 N. Lincoln Avenue,60625,41.96240358108169,-87.68441684946531,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,Yes,(312) 744-7616,http://www.chipublib.org/branch/details/library/sulzer-regional/
64,Thurgood Marshall,7506 S. Racine Avenue,60620,41.757801751628755,-87.65398155309862,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-5927,http://www.chipublib.org/branch/details/library/thurgood-marshall/
65,Toman,2708 S. Pulaski Road,60623,41.84205367070128,-87.72496884474246,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 745-1660,http://www.chipublib.org/branch/details/library/toman/
66,Uptown,929 W. Buena Avenue,60613,41.958445207514295,-87.65351012268938,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 744-8400,http://www.chipublib.org/branch/details/library/uptown/
67,Vodak-East Side,3710 E. 106th Street,60617,41.70302747819179,-87.53350318470449,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-5500,http://www.chipublib.org/branch/details/library/vodak-east-side/
68,Walker,11071 S. Hoyne Avenue,60643,41.69244169242589,-87.67413286555718,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-1920,http://www.chipublib.org/branch/details/library/walker/
69,Water Works,163 E. Pearson Street,60611,41.89758435399726,-87.62314877110073,"M-TH: 9AM-7PM; F, SA: 9AM-5PM; SU: 1PM-5PM",No,No,(312) 742-8811,http://www.chipublib.org/branch/details/library/water-works/
70,West Belmont,3104 N. Narragansett Avenue,60634,41.93666211869315,-87.78589145006396,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-5142,http://www.chipublib.org/branch/details/library/west-belmont/
71,West Chicago Avenue,4856 W. Chicago Avenue,60651,41.895046508790834,-87.74732954000841,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 743-0260,http://www.chipublib.org/branch/details/library/west-chicago-avenue/
72,West Englewood,1745 W. 63rd Street,60636,41.779334358813195,-87.66812159090755,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-3481,http://www.chipublib.org/branch/details/library/west-englewood/
73,West Lawn,4020 W. 63rd Street,60629,41.778662219559784,-87.7235385705056,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-7381,http://www.chipublib.org/branch/details/library/west-lawn/
74,West Pullman,830 W. 119th Street,60643,41.67785087178982,-87.64299968326193,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-1425,http://www.chipublib.org/branch/details/library/west-pullman/
75,West Town,1625 W. Chicago Avenue,60622,41.895752189070784,-87.6682665907951,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 743-0450,http://www.chipublib.org/branch/details/library/west-town/
76,"Whitney M. Young, Jr.",7901 S. King Drive,60619,41.75106360973631,-87.61495065361933,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-0039,http://www.chipublib.org/branch/details/library/whitney-young/
77,Woodson Regional,9525 S. Halsted Street,60628,41.72093481286736,-87.64309395216542,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,Yes,(312) 747-6900,http://www.chipublib.org/branch/details/library/woodson-regional/
78,Wrightwood-Ashburn,8530 S. Kedzie Avenue,60652,41.73832399791064,-87.70213010561923,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-2696,http://www.chipublib.org/branch/details/library/wrightwood/